2020-01-21-22,RT @MatthewHilk: BREAKING from @CNN - CDC expected to announce first U.S. case of Wuhan Coronavirus this afternoon @cnnhealth
2020-01-21-22,RT @OfficialJoelF: #BREAKING: @CNN reports the CDC will announce the first US case of this virus
2020-01-21-22,RT @Reuters: The U.S. Centers for Disease Control (CDC) confirmed it had diagnosed the first case of the newly-identified Wuhan coronavirus…
2020-01-21-22,"RT @BuyDirectUSA: I am wondering with this new mysterious virus coming out of China, why dont we start forcing drug companies to manufactur…"
2020-01-21-22,RT @B52Malmet: First Case Of Coronavirus In U.S. Detected In Traveler From China : Goats and Soda - yeah this morning the CDC said American…
2020-01-21-22,"RT @maej43: Oh my God. 

CDC confirms first US case of Wuhan coronavirus - CNN  https://t.co/14wDQYPl4B"
2020-01-21-22,RT @B52Malmet: First Case Of Coronavirus In U.S. Detected In Traveler From China : Goats and Soda - yeah this morning the CDC said American…
2020-01-21-22,RT @CDCgov: The first human infection with new #coronavirus (#2019-nCoV) has been reported in the US in a person who recently traveled to W…
2020-01-21-22,RT @bbmorshedi: Great summary of how to increase awareness and protection in the setting of flu season and the novel coronavirus (2019-nCoV…
2020-01-21-22,"RT @ABC: NEW: Washington Gov. Jay Inslee gives details about first confirmed case of new coronavirus reported in U.S., praises ""rapid respo…"
2020-01-21-22,"RT @ABC: BREAKING: First confirmed case of the new coronavirus has been reported in Washington state, CDC says.  https://t.co/l6yHdMciBY"
2020-01-21-23,"RT @WilliamYang120: She is now in quarantine, and since she went straight to the hospital after she got off the flight, the CDC in #Taiwan…"
2020-01-21-23,"RT @nytimes: Breaking News: The first U.S. case of the Wuhan coronavirus has been confirmed in Washington State, federal officials said. Th…"
2020-01-21-23,RT @CNN: The US Centers for Disease Control and Prevention is expected to announce this afternoon that the first case of Wuhan coronavirus…
2020-01-21-23,"RT @mgrant76308: An individual traveling from China has been diagnosed in Washington State with the coronavirus, a CDC spokesman has confir…"
2020-01-21-23,1st confirmed case of new coronavirus reported in Washington state: CDC https://t.co/SUWoV7b7fR
2020-01-21-23,CDC: 1st Case of Deadly China Virus Hits US; More Expected https://t.co/StGYAcycBL #Newsmax via @Newsmax
2020-01-21-23,RT @MatthewHilk: BREAKING from @CNN - CDC expected to announce first U.S. case of Wuhan Coronavirus this afternoon @cnnhealth
2020-01-21-23,"RT @sacbee_news: Deadly virus from China spreads to US, CDC says. Five things to know about coronavirus https://t.co/myWPcF24Ze"
2020-01-21-23,"RT @ADevotedYogi: I love infographics!
 How Is #PandemicFlu Different from #SeasonalFlu?
Pandemic Influenza (Flu) | #CDC
 https://t.co/TvPF…"
2020-01-21-23,"RT @Samanth00674901: First US case of coronavirus reported in Washington state, CDC says https://t.co/knSjiYoFeF via @Yahoo"
2020-01-21-23,"CDC Travel Health Notice: Novel Coronavirus in #China:

There is an outbreak of pneumonia in #Wuhan, China, caused by a novel (new) coronavirus. Older adults and people with underlying health conditions may be more likely to get severe disease. https://t.co/7aUPsJWZaV https://t.co/I77k8p1BUZ"
2020-01-21-23,"@royst69 @StephenPunwasi It’s PHAC, they have level one usual precautions advisory. CDC is level 2"
2020-01-21-23,RT @CDCDirector: The first human infection with new #coronavirus (#2019-nCoV) has been reported in the US in a person who recently traveled…
2020-01-21-23,CDC Spokesman Confirms First US Case of China Coronavirus https://t.co/Bawh0CfZj9
2020-01-21-23,RT @FinnaganMarina: Here we go!! I posted a video earlier of passengers being checked for the virus. Guess they missed one! China’s always…
2020-01-21-23,RT @CDCgov: The first human infection with new #coronavirus (#2019-nCoV) has been reported in the US in a person who recently traveled to W…
2020-01-21-23,"The infected USA patient in Washington state is a male in his 30/. The CDC said the man arrived in the U.S. around Jan. 15 after visiting Wuhan. He had not, however, visited the seafood market where this virus is said to have originated.

Article: https://t.co/nK3Lcgso9w https://t.co/rhVxnbyGa8"
2020-01-21-23,RT @MatthewHilk: BREAKING from @CNN - CDC expected to announce first U.S. case of Wuhan Coronavirus this afternoon @cnnhealth
2020-01-21-23,RT @Chickapea60: CDC Spokesman Confirms First US Case of China Coronavirus https://t.co/Bawh0CfZj9
2020-01-21-23,"RT @ABC7: #BREAKING NEWS: A U .S. citizen who recently returned from a trip to China has been diagnosed with coronavirus, making it the fir…"
2020-01-21-23,First Patient With Wuhan Coronavirus Is Identified in the U.S. https://t.co/NJjhbbmVUg
2020-01-21-23,"RT @g_easton819: CDC expanding coronavirus screening to two more airports: Atlanta and Chicago O'Hare

https://t.co/bBwkifBHfh"
2020-01-21-23,"RT @trumptrain1111: BEWARE!

THE CHINA VIRUS HAS LANDED IN US!

CDC Confirms First U.S. Case of Deadly China Virus
#trumptrain1111 https://…"
2020-01-21-23,First Case of Mystery Coronavirus Found In Washington State- CDC https://t.co/uNWatvbwKl via @YouTube
2020-01-21-23,"RT @StephenPunwasi: 😬 😬 😬

Remember when Ford cut a billion dollars from Toronto's public health? 🤔

A good portion of that was infectious…"
2020-01-21-23,RT @CDCgov: The first human infection with new #coronavirus (#2019-nCoV) has been reported in the US in a person who recently traveled to W…
2020-01-21-23,RT @veruka2: New CDC summary of U.S. vaping injuries highlights how hard it is to do the pub health science accurately when it relies on il…
2020-01-21-23,RT @ASavageNation: QUARANTINE!  STOP ALL TRAVELERS FROM CHINA FROM ENTERING THE U.S./ common-sense means to protect Americans!  CDC IS USEL…
2020-01-21-23,#CDC announces first U.S. #case of Wuhan coronavirus - Jan 21 @ 6:31 PM ET https://t.co/BtqtXhEhlc
2020-01-21-23,"The @CDCgov (#CenterForDiseaseControl) said that someone in #WashingtonState has been diagnosed with the #CoronaVirus, which originated in China.

At least 300 people infected, 6 dead. Already cases in five other countries. This could be bad. #CDC https://t.co/k7W7d8Fl1V"
2020-01-21-23,RT @CDCgov: The first human infection with new #coronavirus (#2019-nCoV) has been reported in the US in a person who recently traveled to W…
2020-01-21-23,"RT @CDCFlu: Fever, aches, and chills? It could be #flu. 

It can be difficult to tell the difference between a cold and flu, but special te…"
2020-01-21-23,"Correction: According to the CDC the virus that causes Severe Acute Respiratory Syndrome (SARS) might be a ""previously unrecognized virus from the Coronavirus family."""
2020-01-21-23,"RT @darhar981: First coronavirus case confirmed in US: CDC

https://t.co/CinuPqVwab"
2020-01-21-23,"RT @nikki_miumiu: #CDC has confirmed the first #US case of #WuhanPneumonia, the patient is now under observation in Washington state. This…"
2020-01-21-23,"RT @Just4TheCause: Sell a useless vaccine to #Bought officials 

Insist the only way the vaccine “works” is if EVERY CHILD gets it FIVE TIM…"
2020-01-21-23,Dr.SHIVA Discusses Possible Harm Caused by CDC's Vaccination Schedule https://t.co/TW9ufwaMWQ
2020-01-21-23,"RT @StephenPunwasi: 😬 😬 😬

Remember when Ford cut a billion dollars from Toronto's public health? 🤔

A good portion of that was infectious…"
2020-01-21-23,"RT @darhar981: First coronavirus case confirmed in US: CDC

https://t.co/CinuPqVwab"
2020-01-21-23,"RT @StephenPunwasi: 😬 😬 😬

Remember when Ford cut a billion dollars from Toronto's public health? 🤔

A good portion of that was infectious…"
2020-01-21-23,"RT @no_silenced: JUST IN:  The first US case of the deadly Wuhan coronavirus, in Washington state, is expected to be announced later today…"
2020-01-21-23,"RT @darhar981: First coronavirus case confirmed in US: CDC

https://t.co/CinuPqVwab"
2020-01-21-23,"RT @darhar981: First coronavirus case confirmed in US: CDC

https://t.co/CinuPqVwab"
2020-01-21-23,RT @VoiceMainstreet: @darhar981 @PatriotBluesT It takes 14 days for symptoms. CDC should instruct US to return ppl from this region in some…
2020-01-21-23,"RT @WWG1WGA_WW: Correction: According to the CDC the virus that causes Severe Acute Respiratory Syndrome (SARS) might be a ""previously unre…"
2020-01-21-23,First coronavirus case confirmed in US: CDC | Fox Business https://t.co/FIVoXOsmyd
2020-01-21-23,"@timastweets @JackPosobiec Yes in Seattle. And if the CDC does what it did during the H1N1 epidemic, they won't quarantine and people wil die bc so that they can study the natural progression of the disease. IOW, we'll be test subjects who did not give their informed consent to be guinea pigs."
2020-01-21-23,"RT @ajplus: A new virus spreading in China has been detected in Seattle, says the CDC — making it the 1st U.S. case.

▪️ Health officials c…"
2020-01-21-23,"RT @CDCgov: While limited person-to-person spread with this new coronavirus in Asia raises CDC’s level of concern, the agency continues to…"
2020-01-21-23,"RT @Just4TheCause: Sell a useless vaccine to #Bought officials 

Insist the only way the vaccine “works” is if EVERY CHILD gets it FIVE TIM…"
2020-01-21-23,"RT @trvrb: Thanks to rapid and open data sharing by China CDC, Wuhan Institute of Virology, Institute of Pathogen Biology and Fudan Univers…"
2020-01-21-23,RT @CDCgov: The first human infection with new #coronavirus (#2019-nCoV) has been reported in the US in a person who recently traveled to W…
2020-01-21-23,"RT @AnneKPIX: @CDC has activated its emergency operations center. 
They expect more US cases.
#coronavirus"
2020-01-21-23,RT @grandsupremnews: CDC CONFIRMED IT EXPECTS MORE US CASES TO COME - LIVE COVERAGE https://t.co/igCZmFMh4p via @YouTube
2020-01-21-23,RT @CDCgov: The first human infection with new #coronavirus (#2019-nCoV) has been reported in the US in a person who recently traveled to W…
2020-01-21-23,RT @EpochTimes: The @CDCgov announced the 1st US case of the mysterious #Coronavirus that has killed at least 6 and sickened hundreds more…
